127.0.0.1, 2016-11-24 16:28:07, GET, /, HTTP/1.1, 303, 0.005674
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.191380
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000278
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000247
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000235
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000272
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000262
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000219
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2016-11-24 16:28:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000337
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000382
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000327
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000324
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000346
127.0.0.1, 2016-11-24 16:28:08, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000531
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/default/index, HTTP/1.1, 200, 0.102972
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000244
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000239
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000240
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000310
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000471
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000231
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000296
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000277
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000236
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000252
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2016-11-24 16:28:11, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000377
127.0.0.1, 2016-11-24 16:28:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2016-11-24 16:28:14, POST, /admin/default/index, HTTP/1.1, 303, 0.027979
127.0.0.1, 2016-11-24 16:28:14, GET, /admin/default/site, HTTP/1.1, 200, 0.038722
127.0.0.1, 2016-11-24 16:28:14, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2016-11-24 16:28:14, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.021222
127.0.0.1, 2016-11-24 16:28:14, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000355
