127.0.0.1, 2016-11-08 19:24:11, GET, /, HTTP/1.1, 303, 0.003580
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.191913
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000511
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000949
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000492
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000572
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000417
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000218
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000218
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000236
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000892
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000704
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000694
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000651
127.0.0.1, 2016-11-08 19:24:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000648
127.0.0.1, 2016-11-08 19:24:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000377
127.0.0.1, 2016-11-08 19:24:41, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.021906
127.0.0.1, 2016-11-08 19:24:56, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.021485
127.0.0.1, 2016-11-08 19:25:21, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.021609
127.0.0.1, 2016-11-08 19:25:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000316
127.0.0.1, 2016-11-08 19:25:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.018812
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/default/index, HTTP/1.1, 200, 0.125528
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001081
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.002366
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000900
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.002690
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000551
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002164
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001084
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001307
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000794
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001045
127.0.0.1, 2016-11-08 19:25:27, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001317
