127.0.0.1, 2014-03-01 18:39:01, GET, /, HTTP/1.1, 303, 0.030040
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.779941
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001749
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001916
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001114
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002249
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003767
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004496
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001491
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001189
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000671
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002785
127.0.0.1, 2014-03-01 18:39:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003014
127.0.0.1, 2014-03-01 18:39:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001292
127.0.0.1, 2014-03-01 18:39:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000792
127.0.0.1, 2014-03-01 18:39:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001222
127.0.0.1, 2014-03-01 18:39:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000663
127.0.0.1, 2014-03-01 18:39:13, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2014-03-01 18:39:14, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000513
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/default/index, HTTP/1.1, 200, 0.459845
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.010800
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.022413
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.011305
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.017464
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.009296
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.033448
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001259
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003794
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.006034
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001497
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001038
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000718
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000653
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000532
127.0.0.1, 2014-03-01 19:15:35, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001174
127.0.0.1, 2014-03-01 19:15:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2014-03-01 19:15:38, POST, /admin/default/index, HTTP/1.1, 200, 0.085207
127.0.0.1, 2014-03-01 19:15:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2014-03-01 19:15:42, POST, /admin/default/index, HTTP/1.1, 200, 0.035056
127.0.0.1, 2014-03-01 19:15:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2014-03-01 19:15:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2014-03-01 19:15:50, POST, /admin/default/index, HTTP/1.1, 200, 0.035622
127.0.0.1, 2014-03-01 19:15:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2014-03-01 19:15:54, GET, /admin/default/site, HTTP/1.1, 303, 0.005850
127.0.0.1, 2014-03-01 19:15:54, GET, /admin/default/index, HTTP/1.1, 200, 0.034656
127.0.0.1, 2014-03-01 19:15:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2014-03-01 19:15:57, POST, /admin/default/index, HTTP/1.1, 200, 0.036609
127.0.0.1, 2014-03-01 19:15:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2014-03-01 19:17:10, GET, /, HTTP/1.1, 303, 0.016345
127.0.0.1, 2014-03-01 19:17:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.398837
127.0.0.1, 2014-03-01 19:17:14, GET, /admin/default/index, HTTP/1.1, 200, 0.083551
127.0.0.1, 2014-03-01 19:17:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2014-03-01 19:17:17, POST, /admin/default/index, HTTP/1.1, 303, 0.031147
127.0.0.1, 2014-03-01 19:17:17, GET, /admin/default/site, HTTP/1.1, 200, 0.086291
127.0.0.1, 2014-03-01 19:17:17, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.001582
127.0.0.1, 2014-03-01 19:17:17, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000750
127.0.0.1, 2014-03-01 19:17:17, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000391
127.0.0.1, 2014-03-01 19:17:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2014-03-01 19:17:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2014-03-01 19:17:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2014-03-01 19:17:19, POST, /admin/default/check_version, HTTP/1.1, 200, 1.984199
127.0.0.1, 2014-03-01 19:17:57, POST, /admin/default/site, HTTP/1.1, 303, 2.521494
127.0.0.1, 2014-03-01 19:17:57, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.211391
127.0.0.1, 2014-03-01 19:17:57, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002092
127.0.0.1, 2014-03-01 19:17:57, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001083
127.0.0.1, 2014-03-01 19:17:57, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000633
127.0.0.1, 2014-03-01 19:17:57, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000551
127.0.0.1, 2014-03-01 19:17:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.092292
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.021836
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.010056
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003501
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000620
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.010913
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.017329
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000853
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.010248
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000652
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000682
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003576
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000942
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002942
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000616
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000689
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002068
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001222
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001529
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003513
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002049
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001663
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004277
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003309
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000669
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/js/ajax_editor.js, HTTP/1.1, 200, 0.001473
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003097
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001806
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.001728
127.0.0.1, 2014-03-01 19:20:03, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2014-03-01 19:20:04, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.025532
127.0.0.1, 2014-03-01 19:20:04, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.103252
127.0.0.1, 2014-03-01 19:20:04, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000635
127.0.0.1, 2014-03-01 19:20:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2014-03-01 19:20:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.830981
127.0.0.1, 2014-03-01 19:21:19, POST, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.027233
127.0.0.1, 2014-03-01 19:21:21, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.094216
127.0.0.1, 2014-03-01 19:21:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000377
127.0.0.1, 2014-03-01 19:21:43, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.044379
127.0.0.1, 2014-03-01 19:21:43, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.037833
127.0.0.1, 2014-03-01 19:21:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010449
127.0.0.1, 2014-03-01 19:21:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000786
127.0.0.1, 2014-03-01 19:22:05, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.087983
127.0.0.1, 2014-03-01 19:22:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2014-03-01 19:22:08, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.046848
127.0.0.1, 2014-03-01 19:22:08, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.037466
127.0.0.1, 2014-03-01 19:22:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013486
127.0.0.1, 2014-03-01 19:22:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2014-03-01 19:22:16, POST, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.040015
127.0.0.1, 2014-03-01 19:22:19, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.092719
127.0.0.1, 2014-03-01 19:22:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2014-03-01 19:22:49, GET, /hello_world/default/index, HTTP/1.1, 200, 0.170014
127.0.0.1, 2014-03-01 19:22:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000875
127.0.0.1, 2014-03-01 19:25:16, GET, /hello_world/default/index.xml, HTTP/1.1, 200, 0.168125
127.0.0.1, 2014-03-01 19:25:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001003
127.0.0.1, 2014-03-01 19:25:23, GET, /hello_world/default/index.json, HTTP/1.1, 200, 0.168644
